protein,chain,group,group1,group1,group1,group1,group1,group1,group_old,group3,group1,group6,group4,,protein2,#amino acids,#keys,#keys_with_freq,,percent_threshold,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1,percent_threshold1
1I7G,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,29,1I7G,259,681788,2862209,,100,95,90,85,80,75,70,65,60,55,50
1KKQ,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,37,1KKQ,269,712574,3208094,,100,95,90,85,80,75,70,65,60,55,50
2NPA,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,253,2NPA,269,694612,3208094,,100,95,90,85,80,75,70,65,60,55,50
2P54,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,271,2P54,267,697150,3136805,,100,95,90,85,80,75,70,65,60,55,50
2REW,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,328,2REW,255,668003,2731135,,100,95,90,85,80,75,70,65,60,55,50
2ZNN,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,409,2ZNN,258,666280,2829056,,100,95,90,85,80,75,70,65,60,55,50
3ET1,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,491,3ET1,263,686173,2997411,,100,95,90,85,80,75,70,65,60,55,50
3FEI,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,496,3FEI,246,629582,2450980,,100,95,90,85,80,75,70,65,60,55,50
3G8I,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,505,3G8I,254,644614,2699004,,100,95,90,85,80,75,70,65,60,55,50
3KDT,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,566,3KDT,264,693790,3031864,,100,95,90,85,80,75,70,65,60,55,50
3KDU,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,567,3KDU,264,692213,3031864,,100,95,90,85,80,75,70,65,60,55,50
3SP6,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,687,3SP6,270,711163,3244140,,100,95,90,85,80,75,70,65,60,55,50
3VI8,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,726,3VI8,258,665944,2829056,,100,95,90,85,80,75,70,65,60,55,50
4BCR,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,790,4BCR,263,683194,2997411,,100,95,90,85,80,75,70,65,60,55,50
4CI4,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,795,4CI4,248,631560,2511496,,100,95,90,85,80,75,70,65,60,55,50
5AZT,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1054,5AZT,261,667311,2929290,,100,95,90,85,80,75,70,65,60,55,50
5HYK,A,PPAR_A,PPAR_A,PPAR,PPAR,PPAR,Nuclear_Receptor,Nuclear_Receptor,Nuclear_Receptor,Receptor,PPAR,Nonsteroid,PPAR,1181,5HYK,255,651640,2731135,,100,95,90,85,80,75,70,65,60,55,50
